chipUid;captureDate;captureAddressPostCode;captureAddressPostName;captureAddressThoroughfare;captureAddressLocatorDesignator;captureAddressLocatorBuilding;captureAddressDescription;captureLat;captureLon;animalSpecies;animalBreed;animalSex;animalColor;animalAge;animalFur;animalHeight;animalWeight;vaccinationsInfo;isSterilizationInfo;releasedDate;releasedAddressPostCode;releasedAddressPostName;releasedAddressThoroughfare;releasedAddressLocatorDesignator;releasedAddressLocatorBuilding;releasedAddressDescription;releasedLat;releasedLon;days_in_captivity;captureYear;captureMonth
2397;2024-04-08;76014;Івано-Франківськ;вул. Коновальця;;;;;;собака;;Самиця;чорна з підпалом;3-6 років;;;;;ІСТИНА;2024-04-12;76018;Івано-Франківськ;вул.Коновальця;;;;;;4.0;2024.0;4.0
2398;2024-04-08;76006;Івано-Франківськ;вул.Урожайна;;;;;;собака;;Самець;чорний;2-3 роки;;;;;ІСТИНА;2024-04-21;76006;Івано-Франківськ;вул.Коновальця;;;;;;13.0;2024.0;4.0
2403;2024-04-09;76018;Івано-Франківськ;вул. Мазепи ;;;;;;собака;;Самець;чорний;2-3 роки;;;;;ІСТИНА;2024-04-16;76018;Івано-Франківськ;вул. Мазепи ;;;;;;7.0;2024.0;4.0
2399;2024-04-09;76008;Івано-Франківськ;вул.Пасічна;;;;;;собака;;Самець;чорний з підпалом;3-6 років;;;;;ІСТИНА;2024-04-16;76008;Івано-Франківськ;вул.Пасічна;;;;;;7.0;2024.0;4.0
2401;2024-04-09;77457;с.Радча;;;;;;;собака;;Самиця;сіра;3-6 років;;;;;ІСТИНА;2024-04-16;77457;с.Радча;;;;;;;7.0;2024.0;4.0
2400;2024-04-09;77457;с.Радча;;;;;;;собака;;Самиця;сіра;3-6 років;;;;;ІСТИНА;2024-04-16;77457;прилаштована;;;;;;;7.0;2024.0;4.0
2404;2024-04-12;77458;с.Чукалівка;;;;;;;собака;;Самиця;чорна з підпалом;3-6 років;;;;;ІСТИНА;2024-04-16;77458;с.Чукалівка;;;;;;;4.0;2024.0;4.0
2405;2024-04-16;35646;с.Підлужжя;;;;;;;собака;;Самиця;чепрана;2-3 роки;;;;;ІСТИНА;2024-04-17;35646;с.Підлужжя;;;;;;;1.0;2024.0;4.0
2407;2024-04-21;76000;;вул. Вовчинецька;;;;;;собака;;Самиця;біла;3-6 років;;;;;ІСТИНА;;76000;;;;;;;;;2024.0;4.0
2407;2024-04-22;76009;Івано-Франківськ;вул.Івана Павла2;;;;;;собака;;Самець;коричневий;2-3 роки;;;;;ІСТИНА;2024-04-23;76009;Івано-Франківськ;вул.Івана Павла2;;;;;;1.0;2024.0;4.0
2408;2024-04-26;76494;Івано-Франківськ;вул. Юності;;;;;;собака;;Самиця;чорна з підпалом;6-8 років;;;;;ІСТИНА;2024-04-29;76494;Івано-Франківськ;вул. Юності;;;;;;3.0;2024.0;4.0
2409;2024-04-29;76000;Івано-Франківськ;вул. Витвицького;;;;;;собака;;Самиця;чорна з підпалом;2-3 роки;;;;;ІСТИНА;2024-05-03;76000;Івано-Франківськ;вул. Витвицького;;;;;;4.0;2024.0;4.0
2413;2024-02-10;76010;Івано-Франківськ;вул.Сотника Дідича;;;;;;собака;;Самиця;чорна;2-3 роки;;;;;ІСТИНА;2024-05-20;76010;Івано-Франківськ;вул.Сотника Дідича;;;;;;100.0;2024.0;2.0
2413;2024-05-10;76010;Івано-Франківськ;вул.Сотника Дідича;;;;;;собака;;Самиця;чорна;2-3 роки;;;;;ІСТИНА;2024-05-20;76010;Івано-Франківськ;вул.Сотника Дідича;;;;;;10.0;2024.0;5.0
2415;2024-05-10;76014;Івано-Франківськ;вул.Коновальця-Медична;;;;;;собака;;Самиця;чепрана;1 рік;;;;;ІСТИНА;2024-05-15;76014;Івано-Франківськ;вул.Коновальця-Медична;;;;;;5.0;2024.0;5.0
2419;2024-05-15;76008;Івано-Франківськ;вул.Целевича ;18а;;;;;собака;;Самиця;чорна з підпалом;3-6 років;;;;;ІСТИНА;2024-05-15;76008;Івано-Франківськ;вул.Целевича ;18а;;;;;0.0;2024.0;5.0
2420;2024-06-03;77423;с.Угрнинів;;;;;;;собака;;Самиця;коричнева;3-6 років;;;;;ІСТИНА;2024-06-03;77423;с.Угрнинів;;;;;;;0.0;2024.0;6.0
2421;2024-06-04;76018;Івано-Франківськ;вул. Новгородська;;;;;;собака;;Самиця;чорна;2-3 роки;;;;;ІСТИНА;2024-06-10;76018;Івано-Франківськ;вул. Новгородська;;;;;;6.0;2024.0;6.0
2424;2024-06-04;77460;с.Черніїв;дачі Діброва;;;;;;собака;;Самиця;чорна з підпалом;1 рік;;;;;ІСТИНА;2024-06-14;77460;с.Черніїв;дачі Діброва;;;;;;10.0;2024.0;6.0
2425;2024-06-04;77458;с.Чукалівка;міське кладовище;;;;;;собака;;Самиця;сіра;3-6 років;;;;;ІСТИНА;2024-06-14;77458;с.Чукалівка;міське кладовище;;;;;;10.0;2024.0;6.0
2427;2024-06-05;76000;Івано-Франківськ;вул.Олексишина;;;;;;собака;;Самиця;чорна з підпалом;2-3 роки;;;;;ІСТИНА;2024-06-14;76000;Івано-Франківськ;вул.Олексишина;;;;;;9.0;2024.0;6.0
2426;2024-06-05;76002;Івано-Франківськ;вул. Хриплинська;;;;;;собака;;Самиця;руда з білим;2-3 роки;;;;;ІСТИНА;2024-06-13;76002;Івано-Франківськ;вул. Хриплинська;;;;;;8.0;2024.0;6.0
2428;2024-06-07;76000;;вул. Вовчинецька ;225г;;;;;собака;;Самець;чорний з підпалом;2-3 роки;;;;;ІСТИНА;2024-06-12;76000;;вул. Вовчинецька ;225г;;;;;5.0;2024.0;6.0
2430;2024-06-12;77460;с.Черніїв;дачі Діброва;;;;;;собака;;Самиця;руда з білим;2-3 роки;;;;;ІСТИНА;2024-06-15;77460;с.Черніїв;дачі Діброва;;;;;;3.0;2024.0;6.0
2431;2024-06-11;76018;;вул.Страчених;;;;;;собака;;Самець;трьохколірний;2-3 роки;;;;;ІСТИНА;2024-06-15;76018;;вул.Страчених;;;;;;4.0;2024.0;6.0
2432;2024-06-15;76005;Івано-Франківськ;вул.Довженка;39;;;;;собака;;Самиця;руда з чорним;3-6 років;;;;;ІСТИНА;2024-06-17;76005;Івано-Франківськ;вул.Довженка;39;;;;;2.0;2024.0;6.0
2433;2024-06-13;76493;с.Крихівці;;;;;;;собака;;Самиця;біла;1 рік;;;;;ІСТИНА;2024-06-22;76493;с.Крихівці;;;;;;;9.0;2024.0;6.0
2434;2024-06-16;77400;м. Тисмениця;;;;;;;собака;;Самиця;руда з чорним;3-6 років;;;;;ІСТИНА;2024-06-24;77400;м. Тисмениця;;;;;;;8.0;2024.0;6.0
2435;2024-06-09;76493;с.Крихівці;військова частиина;;;;;;собака;;Самиця;руда;2-3 роки;;;;;ІСТИНА;2024-06-19;76493;с.Крихівці;військова частиина;;;;;;10.0;2024.0;6.0
2436;2024-06-19;76014;Івано-Франківськ;вул.Медична;;;;;;собака;;Самиця;чорна з білим ;3-6 років;;;;;ІСТИНА;2024-06-23;76014;Івано-Франківськ;вул.Медична;;;;;;4.0;2024.0;6.0
2437;2024-06-19;77457;с. Радча;;;;;;;собака;;Самиця;біла;2-3 роки;;;;;ІСТИНА;2024-06-23;77457;с. Радча;;;;;;;4.0;2024.0;6.0
2439;2024-06-22;76005;Івано-Франківськ;вул. Довженка;;;;;;собака;;Самиця;руда з чорним;1 рік;;;;;ІСТИНА;2024-06-24;76005;Івано-Франківськ;вул. Довженка;;;;;;2.0;2024.0;6.0
2440;2024-06-24;76018;Івано-Франківськ;вул. Галицька;;;;;;собака;;Самиця;чепрана;2-3 роки;;;;;ІСТИНА;2024-07-01;76018;Івано-Франківськ;вул. Галицька;;;;;;7.0;2024.0;6.0
2441;2024-06-24;76018;Івано-Франківськ;вул. Галицька;;;;;;собака;;Самиця;чорна з підпалом;1 рік;;;;;ІСТИНА;2024-07-01;76018;Івано-Франківськ;вул. Галицька;;;;;;7.0;2024.0;6.0
2442;2024-06-27;76014;Івано-Франківськ;вул. Коновальця;;;;;;собака;;Самиця;чорна з підпалом;2-3 роки;;;;;ІСТИНА;2024-07-02;76014;Івано-Франківськ;вул. Коновальця;;;;;;5.0;2024.0;6.0
2443;2024-06-27;35646;с.Підлужжя;дачі Нива;;;;;;собака;;Самиця;чорна з підпалом;2-3 роки;;;;;ІСТИНА;2024-06-28;35646;с.Підлужжя;дачі Нива;;;;;;1.0;2024.0;6.0
2444;2024-06-27;77457;с.Радча;;;;;;;собака;;Самиця;чорна з підпалом;2-3 роки;;;;;ІСТИНА;2024-07-01;77457;с.Радча;;;;;;;4.0;2024.0;6.0
2445;2024-06-27;77457;с.Радча;;;;;;;собака;;Самиця;світлоруда;2-3 роки;;;;;ІСТИНА;2024-07-02;77457;с.Радча;;;;;;;5.0;2024.0;6.0
2446;2024-07-02;76005;Івано-Франківськ;вул.Довженка;;;;;;собака;;Самиця;сіра;2-3 роки;;;;;ІСТИНА;2024-07-06;76005;Івано-Франківськ;вул.Довженка;;;;;;4.0;2024.0;7.0
2448;2024-07-02;76019;Івано-Франківськ;вул. Галицька;;;;;;собака;;Самиця;руда з білим;2-3 роки;;;;;ІСТИНА;2024-07-06;76019;Івано-Франківськ;вул. Галицька;;;;;;4.0;2024.0;7.0
2449;2024-07-10;76005;Івано-Франківськ;вул.Довженка;;;;;;собака;;Самиця;чорна з підпалом;1 рік;;;;;ІСТИНА;2024-07-22;76005;Івано-Франківськ;вул.Довженка;;;;;;12.0;2024.0;7.0
2450;2024-07-18;76491;с.Вовчинець;вул.Гайдея;;;;;;собака;;Самиця;білоруда;1 рік;;;;;ІСТИНА;2024-07-22;76491;с.Вовчинець;вул.Гайдея;;;;;;4.0;2024.0;7.0
2451;2024-07-17;76002;Івано-Франківськ;вул.Деповська;6а;;;;;собака;;Самиця;чорна з підпалом;1 рік;;;;;ІСТИНА;2024-07-25;76002;Івано-Франківськ;вул.Деповська;6а;;;;;8.0;2024.0;7.0
2452;2024-07-24;76008;Івано-Франківськ;вул.Тролейбусна;24;;;;;собака;;Самець;чорний з підпалом;2-3 роки;;;;;ІСТИНА;2024-07-27;76008;Івано-Франківськ;вул.Тролейбусна;24;;;;;3.0;2024.0;7.0
2453;2024-07-26;77441;с. Підпечари;вул.Тисминецька;206;;;;;собака;;Самиця;сіра;2-3 роки;;;;;ІСТИНА;2024-07-30;77441;с. Підпечари;вул.Тисминецька;206;;;;;4.0;2024.0;7.0
2454;2024-07-26;77441;с. Підпечари;вул.Тисминецька;206;;;;;собака;;Самиця;чорна;2-3 роки;;;;;ІСТИНА;2024-07-30;77441;с. Підпечари;вул.Тисминецька;206;;;;;4.0;2024.0;7.0
2455;2024-07-29;77434;с.Узин;;;;;;;собака;;Самиця;білоруда;2-3 роки;;;;;ІСТИНА;2024-08-04;77434;с.Узин;;;;;;;6.0;2024.0;7.0
2456;2024-08-02;76009;Івано-Франківськ;вул. Б. Хмельницького;;;;;;собака;;Самиця;сіра;3-6 років;;;;;ІСТИНА;2024-08-08;76009;Івано-Франківськ;вул. Б. Хмельницького;;;;;;6.0;2024.0;8.0
2457;2024-08-01;76009;Івано-Франківськ;вул. Б. Хмельницького;;;;;;собака;;Самиця;руда;3-6 років;;;;;ІСТИНА;2024-08-08;76009;Івано-Франківськ;вул. Б. Хмельницького;;;;;;7.0;2024.0;8.0
2458;2024-08-01;76018;Івано-Франківськ;вул. Чорновола ;;;;;;собака;;Самиця;біла з коричневим;2-3 роки;;;;;ІСТИНА;2024-08-07;76018;Івано-Франківськ;вул. Чорновола ;;;;;;6.0;2024.0;8.0
2459;2024-08-01;76018;Івано-Франківськ;вул. Чорновола ;;;;;;собака;;Самиця;біла з чорним;2-3 роки;;;;;ІСТИНА;2024-08-07;76018;Івано-Франківськ;вул. Чорновола ;;;;;;6.0;2024.0;8.0
2460;2024-08-02;77441;с. Підпечари;;;;;;;собака;;Самиця;чорна;3-6 років;;;;;ІСТИНА;2024-08-10;77441;с. Підпечари;;;;;;;8.0;2024.0;8.0
2461;2024-08-07;76492;с. Микитинці;вул. Тисминецька;;;;;;собака;;Самиця;біла;3-6 років;;;;;ІСТИНА;2024-08-15;76492;с. Микитинці;вул. Тисминецька;;;;;;8.0;2024.0;8.0
2462;2024-08-07;76014;Івано-Франківськ;ул. Коновальця;264б;;;;;собака;;Самиця;чорна;3-6 років;;;;;ІСТИНА;2024-08-11;76014;Івано-Франківськ;ул. Коновальця;264б;;;;;4.0;2024.0;8.0
2463;2024-08-08;76008;Івано-Франківськ;Калужське шосе;32а;;;;;собака;;Самиця;чорна;2-3 роки;;;;;ІСТИНА;;76008;Івано-Франківськ;Калужське шосе;32а;;;;;;2024.0;8.0
2464;2024-08-10;77441;с. Підпечари;вул.Тисминецька;20б;;;;;собака;;Самиця;біла;3-6 років;;;;;ІСТИНА;;77441;с. Підпечари;вул.Тисминецька;20б;;;;;;2024.0;8.0
2465;2024-08-10;77441;с. Підпечари;вул.Тисминецька;20б;;;;;собака;;Самиця;чорна;3-6 років;;;;;ІСТИНА;;77441;с. Підпечари;вул.Тисминецька;20б;;;;;;2024.0;8.0
2466;2024-08-12;76018;Івано-Франківськ;вул. Чорновола ;;;;;;собака;;Самиця;біла з чорним;3-6 років;;;;;ІСТИНА;;76018;Івано-Франківськ;вул. Чорновола ;;;;;;;2024.0;8.0
2467;2024-08-12;76018;Івано-Франківськ;вул. Чорновола ;;;;;;собака;;Самиця;руда;3-6 років;;;;;ІСТИНА;;76018;Івано-Франківськ;вул. Чорновола ;;;;;;;2024.0;8.0
2468;2024-08-15;76492;с. Микитинці;вул.Тисминецька;1;;;;;собака;;Самиця;біла з чорним;2-3 роки;;;;;ІСТИНА;;76492;с. Микитинці;вул.Тисминецька;1;;;;;;2024.0;8.0
4669;2024-08-15;76014;Івано-Франківськ;вул. Коновальця;коледж торгівлі;;;;;собака;;Самиця;чорна;2-3 роки;;;;;ІСТИНА;;76014;Івано-Франківськ;вул. Коновальця;коледж торгівлі;;;;;;2024.0;8.0
2470;2024-08-20;78432;Івано-Франківськ;вул.Пасічна;магазин Барбарис;;;;;собака;;Самиця;руда;2-3 роки;;;;;ІСТИНА;;78432;Івано-Франківськ;вул.Пасічна;магазин Барбарис;;;;;;2024.0;8.0
2471;2024-08-13;76009;Івано-Франківськ;вул. Б. Хмельницького;;;;;;собака;;Самиця;чепрана;2-3 роки;;;;;ІСТИНА;;76009;Івано-Франківськ;вул. Б. Хмельницького;;;;;;;2024.0;8.0
2472;2024-08-23;76491;с.Вовчинець;вул.Гайдея;;;;;;собака;;Самиця;руда;6-8 років;;;;;ІСТИНА;;76491;с.Вовчинець;вул.Гайдея;;;;;;;2024.0;8.0
2473;2024-08-23;76494;Івано-Франківськ;вул. Юності;АЗС;;;;;собака;;Самиця;чепрана;2-3 роки;;;;;ІСТИНА;;76494;Івано-Франківськ;вул. Юності;АЗС;;;;;;2024.0;8.0
2477;2024-08-20;76008;Івано-Франківськ;вул.Горбачевськог;50;;;;;собака;;Самиця;чорна з підпалом;2-3 роки;;;;;ІСТИНА;2024-09-11;77424;с.Павлівка;пункт перетримки;;;;;;22.0;2024.0;8.0
2479;2024-09-04;76493;с.Крихівці;;;;;;;собака;;Самиця;чепрана;2-3 роки;;;;;ІСТИНА;2024-09-06;76493;с.Крихівці;;;;;;;2.0;2024.0;9.0
2481;2024-09-09;76493;с.Крихівці;;;;;;;собака;;Самиця;чорна з підпалом;2-3 роки;;;;;ІСТИНА;;76493;с.Крихівці;;;;;;;;2024.0;9.0
2482;2024-09-11;76014;с. Опришівці;вул. Затишна;;;;;;собака;;Самиця;чорна з підпалом;2-3 роки;;;;;ІСТИНА;2024-09-17;77451;с.Підлісся;вул.Польова;;;;;;6.0;2024.0;9.0
