chipUid;captureDate;captureAddressPostCode;captureAddressPostName;captureAddressThoroughfare;captureAddressLocatorDesignator;captureAddressLocatorBuilding;captureAddressDescription;captureLat;captureLon;animalSpecies;animalBreed;animalSex;animalColor;animalAge;animalFur;animalHeight;animalWeight;vaccinationsInfo;isSterilizationInfo;releasedDate;releasedAddressPostCode;releasedAddressPostName;releasedAddressThoroughfare;releasedAddressLocatorDesignator;releasedAddressLocatorBuilding;releasedAddressDescription;releasedLat;releasedLon;days_in_captivity;captureYear;captureMonth
2523;2024-11-26;77457;с.Радча;підприємство електросвіт;;;;;;собака;;Самець;руда;2-3 роки;;;;;ІСТИНА;;77457;с.Радча;підприємство електросвіт;;;;;;;2024.0;11.0
2527;2024-11-29;76018;Івано-Франківськ;вул. Чорновола ;аеродром;;;;;собака;;Самиця;біла;3-6 років;;;;;ІСТИНА;;76018;Івано-Франківськ;вул. Чорновола ;аеродром;;;;;;2024.0;11.0
2528;2024-12-03;76492;с.Угорники;вул.Тополина ;;;;;;собака;;Самиця;чорна;1 рік;;;;;ІСТИНА;2024-12-09;76492;с.Угорники;вул.Тополина ;;;;;;6.0;2024.0;12.0
2536;2024-12-18;76018;Івано-Франківськ;вул. Мазепи ;;;;;;собака;;Самиця;трьохколірна ;1 рік;;;;;ІСТИНА;2024-12-24;76018;Івано-Франківськ;вул. Мазепи ;;;;;;6.0;2024.0;12.0
2537;2024-12-19;76494;Івано-Франківськ;вул.Юнсті;;;;;;собака;;Самиця;руда;2-3 роки;;;;;ІСТИНА;2024-12-26;76494;Івано-Франківськ;вул.Юнсті;;;;;;7.0;2024.0;12.0
2538;2024-12-19;76494;Івано-Франківськ;вул.Юнсті;;;;;;собака;;Самиця;біла;2-3 роки;;;;;ІСТИНА;2024-12-26;76494;Івано-Франківськ;вул.Юнсті;;;;;;7.0;2024.0;12.0
2539;2024-12-23;76008;Івано-Франківськ;вул.Горбачевськог;;;;;;собака;;Самиця;біло-руда;2-3 роки;;;;;ІСТИНА;2024-12-27;76008;Івано-Франківськ;вул.Горбачевськог;;;;;;4.0;2024.0;12.0
2540;2024-12-23;76494;Івано-Франківськ;вул.Юнсті;;;;;;собака;;Самиця;сіра з підпалом;2-3 роки;;;;;ІСТИНА;2024-12-27;76494;Івано-Франківськ;вул.Юнсті;;;;;;4.0;2024.0;12.0
2548;2025-01-14;76018;Івано-Франківськ;вул.Шухевичів;40;;;48.913284;24.721088;собака;;Самиця;чорна;2-3 роки;короткошерстна;40.0;19.0;;ІСТИНА;2025-01-21;76018;Івано-Франківськ;вул.Шухевичів;40;;;48.913284;24.721088;7.0;2025.0;1.0
2551;2025-01-21;76010;Івано-Франківськ;вул.Сотника Дідича;2;;;48.921503;24.708541;собака;;Самиця;біло-руда;2-3 роки;довгошерстна;25.0;12.0;;ІСТИНА;2025-01-23;76010;Івано-Франківськ;вул.Сотника Дідича;2;;;48.921503;24.708541;2.0;2025.0;1.0
